,year,sex,profession,income,avg_income_per_profession
0,0,F,civil servant,5131.08,5357.960465116279
1,0,M,child,0.0,0.0
2,0,M,unemployed,124.1,193.5193181818182
3,0,M,farmer,1868.39,2182.726575342466
4,0,F,child,0.0,0.0
5,0,F,civil servant,5045.29,5357.960465116279
6,0,F,child,0.0,0.0
7,0,M,homemaker,149.64,202.78
8,0,M,child,0.0,0.0
9,0,M,fisher,1381.2,2232.419245283019
10,0,M,child,0.0,0.0
11,0,F,fisher,1289.44,2232.419245283019
12,0,M,homemaker,236.64,202.78
13,0,M,farmer,1354.75,2182.726575342466
14,0,F,craftsman,4597.94,4212.3914583333335
15,0,F,service provider,6856.92,5215.757804878049
16,0,M,child,0.0,0.0
17,0,F,child,0.0,0.0
18,0,F,child,0.0,0.0
19,0,M,civil servant,4389.01,5357.960465116279
20,0,F,civil servant,7777.5,5357.960465116279
21,0,F,unemployed,113.73,193.5193181818182
22,0,M,craftsman,4089.14,4212.3914583333335
23,0,M,homemaker,227.98,202.78
24,0,F,service provider,5385.51,5215.757804878049
25,0,M,service provider,6093.55,5215.757804878049
26,0,M,farmer,3086.57,2182.726575342466
27,0,M,child,0.0,0.0
28,0,F,child,0.0,0.0
29,0,F,child,0.0,0.0
30,0,F,child,0.0,0.0
31,0,F,civil servant,5392.38,5357.960465116279
32,0,F,farmer,1936.89,2182.726575342466
33,0,X,child,0.0,0.0
34,0,M,fisher,2372.7,2232.419245283019
35,0,F,homemaker,235.72,202.78
36,0,F,child,0.0,0.0
37,0,F,craftsman,3864.62,4212.3914583333335
38,0,F,farmer,2441.01,2182.726575342466
39,0,F,child,0.0,0.0
40,0,F,service provider,6637.22,5215.757804878049
41,0,M,farmer,3277.47,2182.726575342466
42,0,M,child,0.0,0.0
43,0,M,child,0.0,0.0
44,0,M,craftsman,2183.44,4212.3914583333335
45,0,M,craftsman,4399.85,4212.3914583333335
46,0,M,unemployed,293.09,193.5193181818182
47,0,M,farmer,1367.43,2182.726575342466
48,0,F,unemployed,220.56,193.5193181818182
49,0,M,child,0.0,0.0
50,0,M,craftsman,4229.55,4212.3914583333335
51,0,M,farmer,2139.94,2182.726575342466
52,0,M,child,0.0,0.0
53,0,F,homemaker,236.3,202.78
54,0,F,craftsman,5445.69,4212.3914583333335
55,0,F,homemaker,182.73,202.78
56,0,M,child,0.0,0.0
57,0,F,craftsman,6016.06,4212.3914583333335
58,0,M,fisher,2603.16,2232.419245283019
59,0,M,civil servant,2925.79,5357.960465116279
60,0,X,homemaker,134.22,202.78
61,0,F,farmer,1392.33,2182.726575342466
62,0,F,farmer,1683.52,2182.726575342466
63,0,F,fisher,1288.57,2232.419245283019
64,0,F,service provider,6900.24,5215.757804878049
65,0,F,homemaker,247.78,202.78
66,0,M,child,0.0,0.0
67,0,M,homemaker,287.61,202.78
68,0,M,homemaker,197.02,202.78
69,0,M,unemployed,237.93,193.5193181818182
70,0,M,civil servant,5566.21,5357.960465116279
71,0,F,homemaker,146.93,202.78
72,0,F,service provider,5938.2,5215.757804878049
73,0,M,fisher,3126.7,2232.419245283019
74,0,F,child,0.0,0.0
75,0,M,craftsman,5300.9,4212.3914583333335
76,0,F,farmer,1894.38,2182.726575342466
77,0,M,homemaker,156.54,202.78
78,0,M,fisher,1496.78,2232.419245283019
79,0,M,service provider,5718.21,5215.757804878049
80,0,F,child,0.0,0.0
81,0,M,farmer,2708.38,2182.726575342466
82,0,F,homemaker,261.24,202.78
83,0,F,child,0.0,0.0
84,0,M,service provider,7215.4,5215.757804878049
85,0,M,child,0.0,0.0
86,0,X,civil servant,3758.38,5357.960465116279
87,0,F,fisher,2173.33,2232.419245283019
88,0,M,farmer,1316.19,2182.726575342466
89,0,M,child,0.0,0.0
90,0,M,unemployed,255.1,193.5193181818182
91,0,F,child,0.0,0.0
92,0,F,child,0.0,0.0
93,0,M,homemaker,246.89,202.78
94,0,M,service provider,3123.43,5215.757804878049
95,0,M,homemaker,278.68,202.78
96,0,X,homemaker,218.03,202.78
97,0,F,child,0.0,0.0
98,0,X,child,0.0,0.0
99,0,F,fisher,3087.98,2232.419245283019
100,0,M,child,0.0,0.0
101,0,F,unemployed,229.95,193.5193181818182
102,0,F,civil servant,3990.84,5357.960465116279
103,0,F,craftsman,5050.23,4212.3914583333335
104,0,M,civil servant,5699.37,5357.960465116279
105,0,F,craftsman,4103.65,4212.3914583333335
106,0,M,homemaker,158.16,202.78
107,0,M,homemaker,244.32,202.78
108,0,M,child,0.0,0.0
109,0,F,child,0.0,0.0
110,0,F,civil servant,5498.12,5357.960465116279
111,0,M,fisher,1164.42,2232.419245283019
112,0,F,unemployed,178.1,193.5193181818182
113,0,M,craftsman,3070.34,4212.3914583333335
114,0,F,unemployed,168.71,193.5193181818182
115,0,F,fisher,1525.66,2232.419245283019
116,0,M,farmer,2561.32,2182.726575342466
117,0,F,farmer,1206.03,2182.726575342466
118,0,F,farmer,2246.46,2182.726575342466
119,0,M,child,0.0,0.0
120,0,F,child,0.0,0.0
121,0,F,child,0.0,0.0
122,0,F,child,0.0,0.0
123,0,F,child,0.0,0.0
124,0,M,farmer,1760.69,2182.726575342466
125,0,M,homemaker,227.24,202.78
126,0,M,child,0.0,0.0
127,0,F,child,0.0,0.0
128,0,F,farmer,1738.15,2182.726575342466
129,0,F,unemployed,224.4,193.5193181818182
130,0,M,homemaker,292.42,202.78
131,0,M,homemaker,173.52,202.78
132,0,F,fisher,1072.23,2232.419245283019
133,0,F,child,0.0,0.0
134,0,M,child,0.0,0.0
135,0,F,child,0.0,0.0
136,0,M,child,0.0,0.0
137,0,F,child,0.0,0.0
138,0,F,civil servant,4302.98,5357.960465116279
139,0,M,child,0.0,0.0
140,0,M,service provider,7408.69,5215.757804878049
141,0,F,fisher,1978.67,2232.419245283019
142,0,M,farmer,2417.02,2182.726575342466
143,0,F,child,0.0,0.0
144,0,M,service provider,6540.82,5215.757804878049
145,0,M,service provider,4163.27,5215.757804878049
146,0,F,farmer,2855.48,2182.726575342466
147,0,F,unemployed,185.66,193.5193181818182
148,0,M,fisher,1725.47,2232.419245283019
149,0,M,civil servant,3526.86,5357.960465116279
150,0,X,child,0.0,0.0
151,0,F,child,0.0,0.0
152,0,M,homemaker,274.66,202.78
153,0,F,civil servant,3877.13,5357.960465116279
154,0,M,homemaker,237.33,202.78
155,0,M,service provider,3519.19,5215.757804878049
156,0,M,child,0.0,0.0
157,0,F,homemaker,197.55,202.78
158,0,M,child,0.0,0.0
159,0,M,child,0.0,0.0
160,0,M,fisher,1854.88,2232.419245283019
161,0,F,fisher,1174.39,2232.419245283019
162,0,M,civil servant,7614.21,5357.960465116279
163,0,F,child,0.0,0.0
164,0,F,service provider,5869.6,5215.757804878049
165,0,M,civil servant,4784.2,5357.960465116279
166,0,M,homemaker,249.17,202.78
167,0,F,child,0.0,0.0
168,0,M,craftsman,3287.82,4212.3914583333335
169,0,M,civil servant,3818.51,5357.960465116279
170,0,F,craftsman,2930.53,4212.3914583333335
171,0,F,civil servant,6904.99,5357.960465116279
172,0,M,fisher,3328.51,2232.419245283019
173,0,F,unemployed,102.37,193.5193181818182
174,0,F,craftsman,4105.77,4212.3914583333335
175,0,M,homemaker,192.63,202.78
176,0,M,civil servant,5813.0,5357.960465116279
177,0,M,farmer,3051.06,2182.726575342466
178,0,M,child,0.0,0.0
179,0,M,child,0.0,0.0
180,0,F,fisher,2144.09,2232.419245283019
181,0,F,child,0.0,0.0
182,0,X,child,0.0,0.0
183,0,M,child,0.0,0.0
184,0,M,child,0.0,0.0
185,0,M,fisher,1640.77,2232.419245283019
186,0,F,craftsman,3778.8,4212.3914583333335
187,0,M,craftsman,2058.11,4212.3914583333335
188,0,M,child,0.0,0.0
189,0,M,farmer,2260.05,2182.726575342466
190,0,M,civil servant,5837.83,5357.960465116279
191,0,M,farmer,1676.21,2182.726575342466
192,0,M,homemaker,219.31,202.78
193,0,F,homemaker,282.24,202.78
194,0,M,homemaker,238.68,202.78
195,0,F,unemployed,193.53,193.5193181818182
196,0,F,farmer,2328.41,2182.726575342466
197,0,M,craftsman,6111.66,4212.3914583333335
198,0,X,service provider,3657.36,5215.757804878049
199,0,F,farmer,1949.93,2182.726575342466
200,0,X,craftsman,4167.74,4212.3914583333335
201,0,F,fisher,2993.89,2232.419245283019
202,0,F,farmer,2642.24,2182.726575342466
203,0,M,child,0.0,0.0
204,0,F,child,0.0,0.0
205,0,M,fisher,1132.64,2232.419245283019
206,0,M,fisher,2567.97,2232.419245283019
207,0,M,farmer,1937.41,2182.726575342466
208,0,M,civil servant,2690.83,5357.960465116279
209,0,X,child,0.0,0.0
210,0,M,fisher,2270.85,2232.419245283019
211,0,F,homemaker,219.35,202.78
212,0,M,farmer,3207.95,2182.726575342466
213,0,M,farmer,1828.12,2182.726575342466
214,0,F,service provider,4174.82,5215.757804878049
215,0,X,child,0.0,0.0
216,0,F,child,0.0,0.0
217,0,F,farmer,1641.44,2182.726575342466
218,0,M,homemaker,109.13,202.78
219,0,M,child,0.0,0.0
220,0,X,child,0.0,0.0
221,0,F,craftsman,5811.2,4212.3914583333335
222,0,F,service provider,6413.7,5215.757804878049
223,0,F,craftsman,3685.2,4212.3914583333335
224,0,M,craftsman,6029.73,4212.3914583333335
225,0,F,fisher,3390.55,2232.419245283019
226,0,F,unemployed,213.55,193.5193181818182
227,0,F,child,0.0,0.0
228,0,M,child,0.0,0.0
229,0,X,service provider,5784.05,5215.757804878049
230,0,M,unemployed,154.46,193.5193181818182
231,0,M,farmer,2154.59,2182.726575342466
232,0,F,farmer,2949.24,2182.726575342466
233,0,F,child,0.0,0.0
234,0,M,fisher,2071.53,2232.419245283019
235,0,M,craftsman,4198.09,4212.3914583333335
236,0,F,homemaker,161.12,202.78
237,0,M,child,0.0,0.0
238,0,F,civil servant,2947.68,5357.960465116279
239,0,F,craftsman,2430.06,4212.3914583333335
240,0,M,service provider,5486.32,5215.757804878049
241,0,F,homemaker,258.96,202.78
242,0,F,craftsman,2363.21,4212.3914583333335
243,0,F,homemaker,222.83,202.78
244,0,M,homemaker,98.33,202.78
245,0,F,homemaker,295.91,202.78
246,0,M,farmer,2561.04,2182.726575342466
247,0,M,craftsman,3777.36,4212.3914583333335
248,0,F,service provider,3993.4,5215.757804878049
249,0,M,farmer,1147.94,2182.726575342466
250,0,M,service provider,3078.39,5215.757804878049
251,0,F,fisher,3199.62,2232.419245283019
252,0,M,service provider,3395.4,5215.757804878049
253,0,M,homemaker,165.54,202.78
254,0,X,craftsman,6027.12,4212.3914583333335
255,0,X,unemployed,210.52,193.5193181818182
256,0,M,civil servant,4504.19,5357.960465116279
257,0,M,farmer,1515.09,2182.726575342466
258,0,M,child,0.0,0.0
259,0,F,unemployed,119.83,193.5193181818182
260,0,F,farmer,2559.65,2182.726575342466
261,0,F,homemaker,190.89,202.78
262,0,M,farmer,2490.24,2182.726575342466
263,0,M,child,0.0,0.0
264,0,F,unemployed,172.56,193.5193181818182
265,0,F,homemaker,278.65,202.78
266,0,F,farmer,1505.14,2182.726575342466
267,0,X,service provider,5856.16,5215.757804878049
268,0,F,child,0.0,0.0
269,0,M,service provider,7555.6,5215.757804878049
270,0,F,fisher,2153.74,2232.419245283019
271,0,M,child,0.0,0.0
272,0,F,child,0.0,0.0
273,0,F,farmer,1974.29,2182.726575342466
274,0,M,farmer,1871.23,2182.726575342466
275,0,M,child,0.0,0.0
276,0,M,craftsman,6157.18,4212.3914583333335
277,0,F,craftsman,5799.87,4212.3914583333335
278,0,M,civil servant,3710.63,5357.960465116279
279,0,F,child,0.0,0.0
280,0,F,service provider,6349.89,5215.757804878049
281,0,M,farmer,1713.33,2182.726575342466
282,0,F,civil servant,5945.59,5357.960465116279
283,0,M,fisher,1816.39,2232.419245283019
284,0,F,child,0.0,0.0
285,0,F,unemployed,251.1,193.5193181818182
286,0,F,homemaker,281.36,202.78
287,0,M,child,0.0,0.0
288,0,M,fisher,1863.49,2232.419245283019
289,0,M,farmer,1364.26,2182.726575342466
290,0,M,homemaker,283.62,202.78
291,0,F,service provider,4259.28,5215.757804878049
292,0,F,homemaker,270.07,202.78
293,0,M,farmer,2931.94,2182.726575342466
294,0,F,child,0.0,0.0
295,0,F,homemaker,234.59,202.78
296,0,M,craftsman,2905.42,4212.3914583333335
297,0,M,civil servant,7584.88,5357.960465116279
298,0,M,unemployed,166.15,193.5193181818182
299,0,F,service provider,6466.25,5215.757804878049
300,0,F,homemaker,96.68,202.78
301,0,F,homemaker,107.33,202.78
302,0,F,civil servant,4653.59,5357.960465116279
303,0,F,fisher,3324.86,2232.419245283019
304,0,M,craftsman,3257.89,4212.3914583333335
305,0,M,child,0.0,0.0
306,0,M,unemployed,179.53,193.5193181818182
307,0,F,homemaker,117.51,202.78
308,0,F,homemaker,174.78,202.78
309,0,F,service provider,4283.13,5215.757804878049
310,0,F,homemaker,139.96,202.78
311,0,M,service provider,2919.09,5215.757804878049
312,0,M,child,0.0,0.0
313,0,M,farmer,2469.06,2182.726575342466
314,0,F,civil servant,4781.22,5357.960465116279
315,0,F,child,0.0,0.0
316,0,M,civil servant,6302.74,5357.960465116279
317,0,F,child,0.0,0.0
318,0,M,homemaker,225.67,202.78
319,0,F,farmer,2444.8,2182.726575342466
320,0,F,civil servant,6190.85,5357.960465116279
321,0,X,fisher,1457.24,2232.419245283019
322,0,F,unemployed,196.25,193.5193181818182
323,0,F,fisher,2739.87,2232.419245283019
324,0,M,fisher,3165.73,2232.419245283019
325,0,F,farmer,1776.0,2182.726575342466
326,0,M,child,0.0,0.0
327,0,F,fisher,1784.59,2232.419245283019
328,0,F,civil servant,4868.84,5357.960465116279
329,0,F,craftsman,5486.51,4212.3914583333335
330,0,F,homemaker,261.38,202.78
331,0,M,unemployed,135.52,193.5193181818182
332,0,F,homemaker,168.95,202.78
333,0,M,homemaker,139.64,202.78
334,0,F,fisher,2417.73,2232.419245283019
335,0,F,fisher,1441.25,2232.419245283019
336,0,M,farmer,2329.57,2182.726575342466
337,0,F,child,0.0,0.0
338,0,M,farmer,1581.47,2182.726575342466
339,0,M,civil servant,7701.95,5357.960465116279
340,0,F,service provider,3095.5,5215.757804878049
341,0,M,farmer,2436.2,2182.726575342466
342,0,M,farmer,2314.51,2182.726575342466
343,0,M,unemployed,247.33,193.5193181818182
344,0,M,craftsman,5188.13,4212.3914583333335
345,0,F,farmer,2732.49,2182.726575342466
346,0,X,homemaker,121.66,202.78
347,0,M,homemaker,108.8,202.78
348,0,F,civil servant,5877.48,5357.960465116279
349,0,M,civil servant,5889.49,5357.960465116279
350,0,X,civil servant,6734.1,5357.960465116279
351,0,F,child,0.0,0.0
352,0,F,child,0.0,0.0
353,0,M,farmer,2148.96,2182.726575342466
354,0,X,craftsman,5709.67,4212.3914583333335
355,0,M,service provider,7739.34,5215.757804878049
356,0,X,fisher,2627.02,2232.419245283019
357,0,M,unemployed,138.65,193.5193181818182
358,0,M,child,0.0,0.0
359,0,M,farmer,2216.65,2182.726575342466
360,0,F,fisher,2978.86,2232.419245283019
361,0,M,craftsman,3039.64,4212.3914583333335
362,0,F,homemaker,222.59,202.78
363,0,F,farmer,3049.5,2182.726575342466
364,0,M,child,0.0,0.0
365,0,F,farmer,2537.17,2182.726575342466
366,0,M,unemployed,103.0,193.5193181818182
367,0,F,homemaker,126.19,202.78
368,0,M,child,0.0,0.0
369,0,F,craftsman,3373.11,4212.3914583333335
370,0,F,fisher,1847.26,2232.419245283019
371,0,F,civil servant,6045.64,5357.960465116279
